,key,PrimaryRef,CarniBinom,PreyOrder,PreyBinom,CD.values,Valid.values,Difference,Re-entered_Full,Potential explanation,Re-entered,Correct explanation
59,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Equus_quagga","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Perissodactyla,Equus_quagga,8.7,NA,NA,,,,
60,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Equus_zebra","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Perissodactyla,Equus_zebra,3.7,NA,NA,,,,
61,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Galerella_pulverulenta","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Carnivora,Galerella_pulverulenta,34,NA,NA,,,,
62,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Giraffa_camelopardalis","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Cetartiodactyla,Giraffa_camelopardalis,2.1,NA,NA,,,,
63,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Kobus_ellipsiprymnus","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Cetartiodactyla,Kobus_ellipsiprymnus,4.4,NA,NA,,,,
64,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Mastomys_natalensis","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Rodentia,Mastomys_natalensis,2.1,NA,NA,,,,
65,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Orycteropus_afer","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Tubulidentata,Orycteropus_afer,4.4,NA,NA,,,,
66,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Oryx_gazella","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Cetartiodactyla,Oryx_gazella,10.2,NA,NA,,,,
67,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Papio_ursinus","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Primates,Papio_ursinus,19.6,NA,NA,,,,
68,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Parahyaena_brunnea","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Carnivora,Parahyaena_brunnea,39.7,NA,NA,,,,
69,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Pedetes_capensis","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Rodentia,Pedetes_capensis,10.1,NA,NA,,,,
70,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Pelea_capreolus","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Cetartiodactyla,Pelea_capreolus,7.2,NA,NA,,,,
71,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Phacochoerus_africanus","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Cetartiodactyla,Phacochoerus_africanus,51.2,NA,NA,,,,
72,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Potamochoerus_larvatus","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Cetartiodactyla,Potamochoerus_larvatus,8.7,NA,NA,,,,
73,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Procavia_capensis","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Hyracoidea,Procavia_capensis,1.8,NA,NA,,,,
74,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Proteles_cristata","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Carnivora,Proteles_cristata,1.8,NA,NA,,,,
75,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Redunca_fulvorufula","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Cetartiodactyla,Redunca_fulvorufula,40.7,NA,NA,,,,
76,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Suricata_suricatta","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Carnivora,Suricata_suricatta,6.6,NA,NA,,,,
77,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Syncerus_caffer","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Cetartiodactyla,Syncerus_caffer,22.2,NA,NA,,,,
78,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Tragelaphus_oryx","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Cetartiodactyla,Tragelaphus_oryx,23.8,NA,NA,,,,
79,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Tragelaphus_scriptus","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Cetartiodactyla,Tragelaphus_scriptus,8.7,NA,NA,,,,
80,"Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7. Parahyaena_brunnea Tragelaphus_strepsiceros","Comley, Jessica, et al. ""Diet of recently established brown hyaenas in the Eastern Cape, South Africa.""†African Journal of Wildlife Research†48.1 (2018): 1-7.",Parahyaena_brunnea,Cetartiodactyla,Tragelaphus_strepsiceros,192.5,NA,NA,,,,
81,"Davis, Miranda L., Stephens, Philip A., Willis, Stephen G., Bassi, Elena, Marcon, Andrea, Donaggio, Emanuela, . . . Apollonio, Marco. (2012). Prey Selection by an Apex Predator: The Importance of Sampling Uncertainty. PLoS ONE, 7(10), E47894. Canis_lupus Capra_hircus","Davis, Miranda L., Stephens, Philip A., Willis, Stephen G., Bassi, Elena, Marcon, Andrea, Donaggio, Emanuela, . . . Apollonio, Marco. (2012). Prey Selection by an Apex Predator: The Importance of Sampling Uncertainty. PLoS ONE, 7(10), E47894.",Canis_lupus,Cetartiodactyla,Capra_hircus,0.3,NA,NA,,,,
82,"Davis, Miranda L., Stephens, Philip A., Willis, Stephen G., Bassi, Elena, Marcon, Andrea, Donaggio, Emanuela, . . . Apollonio, Marco. (2012). Prey Selection by an Apex Predator: The Importance of Sampling Uncertainty. PLoS ONE, 7(10), E47894. Canis_lupus Capreolus_capreolus","Davis, Miranda L., Stephens, Philip A., Willis, Stephen G., Bassi, Elena, Marcon, Andrea, Donaggio, Emanuela, . . . Apollonio, Marco. (2012). Prey Selection by an Apex Predator: The Importance of Sampling Uncertainty. PLoS ONE, 7(10), E47894.",Canis_lupus,Cetartiodactyla,Capreolus_capreolus,33.7,NA,NA,,,,
83,"Davis, Miranda L., Stephens, Philip A., Willis, Stephen G., Bassi, Elena, Marcon, Andrea, Donaggio, Emanuela, . . . Apollonio, Marco. (2012). Prey Selection by an Apex Predator: The Importance of Sampling Uncertainty. PLoS ONE, 7(10), E47894. Canis_lupus Cervus_elaphus","Davis, Miranda L., Stephens, Philip A., Willis, Stephen G., Bassi, Elena, Marcon, Andrea, Donaggio, Emanuela, . . . Apollonio, Marco. (2012). Prey Selection by an Apex Predator: The Importance of Sampling Uncertainty. PLoS ONE, 7(10), E47894.",Canis_lupus,Cetartiodactyla,Cervus_elaphus,0.7,NA,NA,,,,
84,"Davis, Miranda L., Stephens, Philip A., Willis, Stephen G., Bassi, Elena, Marcon, Andrea, Donaggio, Emanuela, . . . Apollonio, Marco. (2012). Prey Selection by an Apex Predator: The Importance of Sampling Uncertainty. PLoS ONE, 7(10), E47894. Canis_lupus Lepus_europaeus","Davis, Miranda L., Stephens, Philip A., Willis, Stephen G., Bassi, Elena, Marcon, Andrea, Donaggio, Emanuela, . . . Apollonio, Marco. (2012). Prey Selection by an Apex Predator: The Importance of Sampling Uncertainty. PLoS ONE, 7(10), E47894.",Canis_lupus,Lagomorpha,Lepus_europaeus,1.1,9.6,-8.5,9.6,Not recorded for separate years.,1.1,Yes
85,"Davis, Miranda L., Stephens, Philip A., Willis, Stephen G., Bassi, Elena, Marcon, Andrea, Donaggio, Emanuela, . . . Apollonio, Marco. (2012). Prey Selection by an Apex Predator: The Importance of Sampling Uncertainty. PLoS ONE, 7(10), E47894. Canis_lupus Ovis_aries","Davis, Miranda L., Stephens, Philip A., Willis, Stephen G., Bassi, Elena, Marcon, Andrea, Donaggio, Emanuela, . . . Apollonio, Marco. (2012). Prey Selection by an Apex Predator: The Importance of Sampling Uncertainty. PLoS ONE, 7(10), E47894.",Canis_lupus,Cetartiodactyla,Ovis_aries,2.2,NA,NA,,,,
86,"Davis, Miranda L., Stephens, Philip A., Willis, Stephen G., Bassi, Elena, Marcon, Andrea, Donaggio, Emanuela, . . . Apollonio, Marco. (2012). Prey Selection by an Apex Predator: The Importance of Sampling Uncertainty. PLoS ONE, 7(10), E47894. Canis_lupus Sus_scrofa","Davis, Miranda L., Stephens, Philip A., Willis, Stephen G., Bassi, Elena, Marcon, Andrea, Donaggio, Emanuela, . . . Apollonio, Marco. (2012). Prey Selection by an Apex Predator: The Importance of Sampling Uncertainty. PLoS ONE, 7(10), E47894.",Canis_lupus,Cetartiodactyla,Sus_scrofa,61.5,NA,NA,,,,
87,"Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162. Galictis_cuja Calomys_musculinus","Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162.",Galictis_cuja,Rodentia,Calomys_musculinus,0.6,0.9,-0.3,0.9,Not originally recorded for different sites.,0.6,Yes
88,"Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162. Galictis_cuja Chaetophractus_villosus","Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162.",Galictis_cuja,Cingulata,Chaetophractus_villosus,2,2.7,-0.7,2.7,Not originally recorded for different sites.,2,Yes
89,"Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162. Galictis_cuja Ctenomys_haigi","Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162.",Galictis_cuja,Rodentia,Ctenomys_haigi,2.1,43,-40.9,43,Not originally recorded for different sites.,2.1,Yes
90,"Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162. Galictis_cuja Eligmodontia_typus","Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162.",Galictis_cuja,Rodentia,Eligmodontia_typus,9.1,14.7,-5.6,14.7,Not originally recorded for different sites.,9.1,Yes
91,"Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162. Galictis_cuja Irenomys_tarsalis","Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162.",Galictis_cuja,Rodentia,Irenomys_tarsalis,1.3,1.8,-0.5,1.8,Not originally recorded for different sites.,1.3,Yes
92,"Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162. Galictis_cuja Loxodontomys_micropus","Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162.",Galictis_cuja,Rodentia,Loxodontomys_micropus,10.9,NA,NA,,,,
93,"Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162. Galictis_cuja Marmosa_pusilla","Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162.",Galictis_cuja,Didelphimorphia,Marmosa_pusilla,0.7,2.6,-1.9,2.6,Not originally recorded for different sites.,0.7,Yes
94,"Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162. Galictis_cuja Notiomys_edwardsii","Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162.",Galictis_cuja,Rodentia,Notiomys_edwardsii,0.7,0.9,-0.2,0.9,Not originally recorded for different sites.,0.7,Yes
95,"Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162. Galictis_cuja Oryzomys_longicaudatus","Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162.",Galictis_cuja,Rodentia,Oryzomys_longicaudatus,4.1,7.3,-3.2,7.3,Not originally recorded for different sites.,4.1,Yes
96,"Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162. Galictis_cuja Phyllotis_darwini","Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162.",Galictis_cuja,Rodentia,Phyllotis_darwini,14.1,50.8,-36.7,50.8,Not originally recorded for different sites.,14.1,Yes
97,"Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162. Galictis_cuja Reithrodon_auritus","Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162.",Galictis_cuja,Rodentia,Reithrodon_auritus,21.6,47.9,-26.3,47.9,Not originally recorded for different sites.,21.6,Yes
98,"Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162. Galictis_cuja Zaedyus_pichiy","Delibes, M., Travaini, A., Zapata, S. C., & Palomares, F. (2003). Alien mammals and the trophic position of the lesser grison (Galictis cuja) in Argentinean Patagonia.·Canadian Journal of Zoology,·81(1), 157-162.",Galictis_cuja,Cingulata,Zaedyus_pichiy,4.1,5.7,-1.6,5.7,Not originally recorded for different sites.,4.1,Yes
99,"Friesen, O.C., Roth, J.D., 2016. Alternative prey use affects helminth parasite infections in grey wolves. Journal of Animal Ecology 85, 1265-1274. Canis_lupus Alces_alces","Friesen, O.C., Roth, J.D., 2016. Alternative prey use affects helminth parasite infections in grey wolves. Journal of Animal Ecology 85, 1265-1274.",Canis_lupus,Cetartiodactyla,Alces_alces,18.5,18.5,0,,,,
100,"Friesen, O.C., Roth, J.D., 2016. Alternative prey use affects helminth parasite infections in grey wolves. Journal of Animal Ecology 85, 1265-1274. Canis_lupus Castor_canadensis","Friesen, O.C., Roth, J.D., 2016. Alternative prey use affects helminth parasite infections in grey wolves. Journal of Animal Ecology 85, 1265-1274.",Canis_lupus,Rodentia,Castor_canadensis,11.4,11.4,0,,,,
101,"Friesen, O.C., Roth, J.D., 2016. Alternative prey use affects helminth parasite infections in grey wolves. Journal of Animal Ecology 85, 1265-1274. Canis_lupus Lepus_americanus","Friesen, O.C., Roth, J.D., 2016. Alternative prey use affects helminth parasite infections in grey wolves. Journal of Animal Ecology 85, 1265-1274.",Canis_lupus,Lagomorpha,Lepus_americanus,21.9,21.9,0,,,,
102,"Friesen, O.C., Roth, J.D., 2016. Alternative prey use affects helminth parasite infections in grey wolves. Journal of Animal Ecology 85, 1265-1274. Canis_lupus Odocoileus_virginianus","Friesen, O.C., Roth, J.D., 2016. Alternative prey use affects helminth parasite infections in grey wolves. Journal of Animal Ecology 85, 1265-1274.",Canis_lupus,Cetartiodactyla,Odocoileus_virginianus,32.5,32.5,0,,,,
103,"Friesen, O.C., Roth, J.D., 2016. Alternative prey use affects helminth parasite infections in grey wolves. Journal of Animal Ecology 85, 1265-1274. Canis_lupus Rangifer_tarandus","Friesen, O.C., Roth, J.D., 2016. Alternative prey use affects helminth parasite infections in grey wolves. Journal of Animal Ecology 85, 1265-1274.",Canis_lupus,Cetartiodactyla,Rangifer_tarandus,10.9,10.9,0,,,,
104,"Helldin, J. O., and Anna V. Danielsson. ""Changes in red fox Vulpes vulpes diet due to colonisation by lynx Lynx lynx.""·Wildlife Biology·13.4 (2007): 475-480. Vulpes_vulpes Capreolus_capreolus","Helldin, J. O., and Anna V. Danielsson. ""Changes in red fox Vulpes vulpes diet due to colonisation by lynx Lynx lynx.""·Wildlife Biology·13.4 (2007): 475-480.",Vulpes_vulpes,Cetartiodactyla,Capreolus_capreolus,391.3,199,192.3,391.3,CarniDIET is correct.,391.3,Yes
105,"Hidalgo-Mihart, M. G., Cant∑-Salazar, L., L?pez-Gonzﬂlez, C. A., Mart?nez-Meyer, E., & Gonzﬂlez-Romero, A. (2001). Coyote (Canis latrans) food habits in a tropical deciduous forest of western Mexico.·The American Midland Naturalist,·146(1), 210-216. Canis_latrans Baiomys_musculus","Hidalgo-Mihart, M. G., Cant∑-Salazar, L., L?pez-Gonzﬂlez, C. A., Mart?nez-Meyer, E., & Gonzﬂlez-Romero, A. (2001). Coyote (Canis latrans) food habits in a tropical deciduous forest of western Mexico.·The American Midland Naturalist,·146(1), 210-216.",Canis_latrans,Rodentia,Baiomys_musculus,14.7,NA,NA,14.7,Only recorded frequency of occurrence.,14.7,Yes
106,"Hidalgo-Mihart, M. G., Cant∑-Salazar, L., L?pez-Gonzﬂlez, C. A., Mart?nez-Meyer, E., & Gonzﬂlez-Romero, A. (2001). Coyote (Canis latrans) food habits in a tropical deciduous forest of western Mexico.·The American Midland Naturalist,·146(1), 210-216. Canis_latrans Canis_familiaris","Hidalgo-Mihart, M. G., Cant∑-Salazar, L., L?pez-Gonzﬂlez, C. A., Mart?nez-Meyer, E., & Gonzﬂlez-Romero, A. (2001). Coyote (Canis latrans) food habits in a tropical deciduous forest of western Mexico.·The American Midland Naturalist,·146(1), 210-216.",Canis_latrans,Carnivora,Canis_familiaris,8.1,NA,NA,8.1,Only recorded frequency of occurrence.,6.6,Yes
107,"Hidalgo-Mihart, M. G., Cant∑-Salazar, L., L?pez-Gonzﬂlez, C. A., Mart?nez-Meyer, E., & Gonzﬂlez-Romero, A. (2001). Coyote (Canis latrans) food habits in a tropical deciduous forest of western Mexico.·The American Midland Naturalist,·146(1), 210-216. Canis_latrans Dasypus_novemcinctus","Hidalgo-Mihart, M. G., Cant∑-Salazar, L., L?pez-Gonzﬂlez, C. A., Mart?nez-Meyer, E., & Gonzﬂlez-Romero, A. (2001). Coyote (Canis latrans) food habits in a tropical deciduous forest of western Mexico.·The American Midland Naturalist,·146(1), 210-216.",Canis_latrans,Cingulata,Dasypus_novemcinctus,6.6,221,-214.4,9.9,Only recorded frequency of occurrence.,6.6,Yes
108,"Hidalgo-Mihart, M. G., Cant∑-Salazar, L., L?pez-Gonzﬂlez, C. A., Mart?nez-Meyer, E., & Gonzﬂlez-Romero, A. (2001). Coyote (Canis latrans) food habits in a tropical deciduous forest of western Mexico.·The American Midland Naturalist,·146(1), 210-216. Canis_latrans Handleyomys_melanotis","Hidalgo-Mihart, M. G., Cant∑-Salazar, L., L?pez-Gonzﬂlez, C. A., Mart?nez-Meyer, E., & Gonzﬂlez-Romero, A. (2001). Coyote (Canis latrans) food habits in a tropical deciduous forest of western Mexico.·The American Midland Naturalist,·146(1), 210-216.",Canis_latrans,Rodentia,Handleyomys_melanotis,7.4,NA,NA,,,,
109,"Hidalgo-Mihart, M. G., Cant∑-Salazar, L., L?pez-Gonzﬂlez, C. A., Mart?nez-Meyer, E., & Gonzﬂlez-Romero, A. (2001). Coyote (Canis latrans) food habits in a tropical deciduous forest of western Mexico.·The American Midland Naturalist,·146(1), 210-216. Canis_latrans Heteromys_pictus","Hidalgo-Mihart, M. G., Cant∑-Salazar, L., L?pez-Gonzﬂlez, C. A., Mart?nez-Meyer, E., & Gonzﬂlez-Romero, A. (2001). Coyote (Canis latrans) food habits in a tropical deciduous forest of western Mexico.·The American Midland Naturalist,·146(1), 210-216.",Canis_latrans,Rodentia,Heteromys_pictus,22.8,NA,NA,,,,
110,"Hidalgo-Mihart, M. G., Cant∑-Salazar, L., L?pez-Gonzﬂlez, C. A., Mart?nez-Meyer, E., & Gonzﬂlez-Romero, A. (2001). Coyote (Canis latrans) food habits in a tropical deciduous forest of western Mexico.·The American Midland Naturalist,·146(1), 210-216. Canis_latrans Nasua_nasua","Hidalgo-Mihart, M. G., Cant∑-Salazar, L., L?pez-Gonzﬂlez, C. A., Mart?nez-Meyer, E., & Gonzﬂlez-Romero, A. (2001). Coyote (Canis latrans) food habits in a tropical deciduous forest of western Mexico.·The American Midland Naturalist,·146(1), 210-216.",Canis_latrans,Carnivora,Nasua_nasua,8.1,NA,NA,,,,
111,"Hidalgo-Mihart, M. G., Cant∑-Salazar, L., L?pez-Gonzﬂlez, C. A., Mart?nez-Meyer, E., & Gonzﬂlez-Romero, A. (2001). Coyote (Canis latrans) food habits in a tropical deciduous forest of western Mexico.·The American Midland Naturalist,·146(1), 210-216. Canis_latrans Odocoileus_virginianus","Hidalgo-Mihart, M. G., Cant∑-Salazar, L., L?pez-Gonzﬂlez, C. A., Mart?nez-Meyer, E., & Gonzﬂlez-Romero, A. (2001). Coyote (Canis latrans) food habits in a tropical deciduous forest of western Mexico.·The American Midland Naturalist,·146(1), 210-216.",Canis_latrans,Cetartiodactyla,Odocoileus_virginianus,34.5,NA,NA,,,,
